setting,generation,count,count_std,avg_length,avg_length_std,vocab_size,vocab_size_std,perplexity,perplexity_std,bleu-4,bleu-4_std,meteor,meteor_std,rouge-l,rouge-l_std,cider,cider_std,spice,spice_std,clip_score,clip_score_std,clip_variance,clip_variance_std,rmg,rmg_std,l2m,l2m_std
baseline,0,200.0,0.0,8.529000000000002,0.1180635422135045,325.7,10.51712888577486,3.4758322675824167,0.3403872857620918,0.0832625169512728,0.014435731150678,0.2918391523150352,0.0225442382099664,0.3485532241157537,0.0187455235850852,4.319373832437486,0.625913986190356,0.1623939571773686,0.015593768630891,0.2908935546875,0.0022435713162905,0.0012898445129394,9.66757204736228e-05,0.4203330654814066,0.0034742595151052,0.852099609375,0.0041285038718609
baseline,1,200.0,0.0,10.532999999999998,0.1086324076875772,343.5,10.062305898749054,4.446690221726894,0.1869294111860195,0.0996512743391694,0.0172032303381639,0.3061688227724874,0.01460232838419,0.3590498876372099,0.0178686229264133,4.240807288320345,0.3288526540441248,0.1817446450135523,0.0137458644284735,0.296435546875,0.001388814712239,0.0010218143463134,8.394567506690035e-05,0.4361978706442945,0.0028278005316405,0.835693359375,0.0039199588547707
baseline,2,200.0,0.0,9.746,0.0647610994347687,317.1,8.768694315575152,5.395731501460075,0.2347964947082442,0.0993596336173764,0.0165432509617278,0.3086320398581962,0.0160543163403306,0.3742907515889382,0.0163088405455113,4.292748382684186,0.2352047606329085,0.1835444396869295,0.0160604910299759,0.2928955078125,0.0016845703125,0.0010558128356933,8.236947511553567e-05,0.4270946488046305,0.0025649464582707,0.845166015625,0.003052831842254
baseline,3,200.0,0.0,9.7015,0.0665601231970012,320.7,8.17373843476778,inf,,0.097193996704469,0.0086498851054289,0.3058126574233409,0.0187688615477617,0.3661839268454655,0.0150886220639913,4.288052606584067,0.2730783988504868,0.1806320515153658,0.0122001183642033,0.2912841796875,0.0016284381001613,0.0010810852050781,8.827666103517325e-05,0.4271656021630599,0.0022072885513458,0.843603515625,0.0029624631468979
baseline,4,200.0,0.0,9.652,0.0783326241102643,316.0,10.3053384223906,14.74784639662504,2.466952203329509,0.1039610345282353,0.0188005319055114,0.3049873993978255,0.025148308666399,0.374821376409046,0.0187773813073259,4.415699647002424,0.2454580439939067,0.1845662176244244,0.0191495690815821,0.28701171875,0.0017880696702734,0.0013049125671386,0.0001155072836321,0.4271250515234135,0.0020652129898247,0.839111328125,0.0028240222150236
baseline,5,200.0,0.0,9.965,0.0799687438940994,320.7,6.4815121692395214,12.16870391702652,1.417065628698233,0.0866827472997386,0.0131143585177744,0.2989684316701452,0.0173874247541652,0.3566511706593558,0.0183630452016781,4.132421246393161,0.3517052176806726,0.16742995801214,0.0136315986976471,0.289599609375,0.002413907635607,0.0012866973876953,0.0001519450714099,0.4344169569212127,0.0025517584565506,0.832958984375,0.0031602775635321
baseline,6,200.0,0.0,9.784,0.0964053940399602,308.1,9.994498486667553,14.156702297151089,0.8677685259586239,0.1260932670869633,0.0197416255037891,0.3136449328393571,0.0251158430765803,0.3625760952702023,0.0247825478837938,4.161881128776886,0.3061273268411846,0.1989012125175419,0.0231421707447358,0.2826171875,0.0019959895933564,0.0014726638793945,0.0001077110019216,0.4300011383071749,0.0034118896130328,0.8328125,0.0041958107536993
baseline,7,200.0,0.0,9.875,0.1066536450385076,315.1,11.717081547894082,16.117819191932675,1.641565819266876,0.09763389699164,0.0180096080404777,0.292880025916673,0.0125674307142253,0.3400642302878801,0.0127581768655577,4.015985024365195,0.300143314939875,0.1707057542568433,0.0142161365721405,0.281787109375,0.0025036022936121,0.0015068054199218,0.0001378539440661,0.4284055639528067,0.0026214562625147,0.8357421875,0.0035020353666095
baseline,8,200.0,0.0,9.4115,0.0831579821785018,284.2,13.15142577821888,15.403796200156211,1.3093396169000353,0.1212583409035591,0.0248673457492364,0.3254875914724061,0.0287133723781384,0.3901418908204758,0.024630082206141,4.491823909903895,0.3901671113911004,0.203068872665243,0.0255386496587339,0.274267578125,0.002609451018728,0.0016386985778808,8.116889006626928e-05,0.4165930887376737,0.002298795590017,0.85,0.0024589215453152
baseline,9,200.0,0.0,9.64,0.0822496200599128,282.4,10.518555033843766,15.74859024733305,1.4380144043374825,0.1105580588900553,0.0178080633552178,0.3091625561282938,0.0197945831459466,0.376918709950255,0.0227496722658817,4.396704570902523,0.4614888740888253,0.1921156311153835,0.0191528907672602,0.2715087890625,0.0029569249808038,0.0017348289489746,9.232774174840468e-05,0.4207524577015961,0.0027322694695304,0.843603515625,0.0031572584297514
baseline,10,200.0,0.0,9.852,0.0855920557061228,291.2,6.273754856543249,18.78548057353496,1.4568257083934102,0.1072861313522229,0.0159132559942642,0.299264664049204,0.0174846067740221,0.3637182640665211,0.0198971740468128,4.237946807520409,0.2878939720123356,0.1835625364818493,0.0158172812730426,0.271875,0.0025587055676902,0.001701545715332,9.503382507169466e-05,0.4192929113086369,0.0030345436149392,0.844921875,0.0036290828468871
gen0,0,200.0,0.0,8.5215,0.1434233244629339,323.8,10.63766891757776,3.366712620556354,0.2919675596100142,0.0826666787205997,0.0179631384064305,0.2854010184278546,0.0206992800368661,0.3350434663163731,0.022065394785981,4.064466077831904,0.4808704432344968,0.1585310124633097,0.0164037939172963,0.2913818359375,0.0018245326554231,0.0012718200683593,0.0001144498185829,0.4212210564676152,0.0031765059544769,0.851025390625,0.004461565551372
gen0,1,200.0,0.0,26.1085,0.3759724059023478,400.7,7.071774883294858,7.405172995448114,0.1710815214291582,0.286737069408565,0.0170142553416415,0.371492291733441,0.0136982154961323,0.4961668269902944,0.0181007848413328,4.770172769902352,0.2064246363861317,0.3656328786251664,0.0146918352732993,0.305712890625,0.0019737678643952,0.0013159751892089,5.609753579844209e-05,0.4676806245666108,0.0029555341658844,0.791650390625,0.0046632776670335
gen0,2,200.0,0.0,28.0755,0.5256113107610985,403.7,10.421612159354234,8.799526892900468,0.3424911605943204,0.2842503102373392,0.0161452775839333,0.3622913248431356,0.0193010904773372,0.4853514806449653,0.0111445695912184,4.561813017655004,0.3990602978027378,0.3503807996398077,0.0114597836378874,0.3054931640625,0.0017126425690718,0.0013579368591308,0.0001123017412426,0.4690171731761885,0.003389737687689,0.78955078125,0.0047037478823407
gen0,3,200.0,0.0,27.660500000000003,0.3085567208796457,413.4,13.039938650162432,13.208591204166414,2.074378768012731,0.2743891076022515,0.0136658210139064,0.3562414920713375,0.0138390318683665,0.4767015634178735,0.0146349076660445,4.834003584993495,0.2387281989144223,0.341142301089709,0.0114551126663041,0.30263671875,0.002016784807428,0.0012231826782226,5.552678109523635e-05,0.4697540440876759,0.0034767199578528,0.7849609375,0.0045080815967124
gen0,4,200.0,0.0,29.0835,0.1789001117942639,431.5,10.365809182114052,12.242966774702072,1.33860868436184,0.2686947652561694,0.0159735488196787,0.345453299233212,0.0107792788586439,0.4647628953933138,0.0088372400790356,4.567913690118696,0.3056686430245278,0.3292498868656048,0.0106121200832403,0.301416015625,0.0019353438654889,0.0012845039367675,7.176480023509118e-05,0.4678969127546526,0.0031802924331199,0.78798828125,0.0044900640361611
gen0,5,200.0,0.0,28.624,0.3062417345823395,426.2,10.087616170334794,12.946289180517198,1.1018908410064163,0.2753073902012951,0.0195381607067612,0.349542395042501,0.012713318219052,0.470386418444874,0.0125599414572707,4.617483205356366,0.3749951312407837,0.3378204334667014,0.0111013233316484,0.2999755859375,0.0011761903779732,0.0012653350830078,7.556182540808565e-05,0.4670374181753759,0.0034686967815198,0.78935546875,0.0047801711916095
gen0,6,200.0,0.0,29.037500000000005,0.2044413118721358,412.2,6.867313885355758,13.879303103208542,1.879454734959896,0.2720176275185269,0.0225227468805497,0.3414320677240639,0.011983205698243,0.4657923179911866,0.008073325397459,4.579356744144741,0.2047561209710333,0.3348014235244983,0.0094356730323375,0.2949462890625,0.0014254551344721,0.0013938903808593,0.0001294647219854,0.4658471075847347,0.0032736351098037,0.786181640625,0.004482889919736
gen0,7,200.0,0.0,30.2275,0.3385797542677355,401.1,13.269890730522237,14.97769425928593,2.012459176594976,0.2785305251483793,0.0224144918497923,0.3409217680239281,0.0181600081588353,0.461361230739702,0.0180181859501598,4.729930733259634,0.3496529669359333,0.3390795113777095,0.0130039588404362,0.294140625,0.0015199592203391,0.0013503074645996,0.0001634601394934,0.4657329837592964,0.0031907420482247,0.785888671875,0.0042300489786256
gen0,8,200.0,0.0,29.2905,0.3315301645401217,410.0,9.6850400102426,14.801969903469086,1.9468871855177503,0.2747157612355745,0.0226659658123414,0.3442026741545819,0.0169230836858485,0.4680905539732598,0.0192619860566434,4.94116249568544,0.5006008115419264,0.3370597576351558,0.0137947641002812,0.2935546875,0.0016744558788556,0.0014485359191894,0.0002033279491787,0.4671817977167628,0.0037125721498483,0.7841796875,0.004683429221985
gen0,9,200.0,0.0,31.4075,0.3172636915879279,392.0,11.41928193889616,15.435050716638566,2.0172178486107244,0.2784782070379977,0.0221906214375935,0.335211165380589,0.0141640243625356,0.4758312891027328,0.0134316650227935,4.992547816325812,0.5675096966561375,0.3431679969751394,0.0177653424268292,0.2858154296875,0.0018008577740146,0.0016753196716308,0.0001093262304653,0.4608062619481035,0.0033896823094158,0.79228515625,0.00417872908112
gen0,10,200.0,0.0,30.171000000000003,0.4799677072470608,391.0,8.988882021697693,16.538503678321838,2.4269175150898725,0.2796964953067932,0.016338153066034894,0.3386458948146196,0.009374496331639353,0.4665183029304685,0.01706699075730988,4.812383462366784,0.34850864536751297,0.3381455611374096,0.010336662868708513,0.2852783203125,0.0014162260754173022,0.0015993118286132812,0.0001531008205463727,0.45886674082070267,0.003906532948757955,0.7927734375,0.0051406531985358815
recursive,0,200.0,0.0,8.4485,0.1297699888263846,322.8,8.44748483277715,3.4236106093525884,0.280858248885368,0.0835375383723008,0.0120489786609529,0.2896868718608111,0.0171296000188216,0.3424157790031097,0.0157806677292284,4.179014396807743,0.3847429812197521,0.1606331317939719,0.0112140326135754,0.2906005859375,0.0020133831953143,0.0012975692749023,0.0001061368821661,0.4199887685477081,0.0033078722485781,0.8521484375,0.0049833401649113
recursive,1,200.0,0.0,26.31,0.4889887524268836,401.8,9.019977827023745,7.372840024352074,0.1228909238116424,0.2854353294951688,0.0177353009404928,0.3745826812656493,0.0159920010075013,0.4987357359608135,0.0184877655306471,4.834543115580424,0.250784724264485,0.3651268852381272,0.0153908625003217,0.305810546875,0.0022724758355898,0.0013102531433105,5.701576814881968e-05,0.4683572702614696,0.0033081493212059,0.790478515625,0.0049864489984859
recursive,2,200.0,0.0,29.3935,0.1796253044534649,398.8,9.75499871860576,11.728971723556516,0.3707356310283074,0.3122915854254716,0.0175335521925277,0.4028261908295987,0.0071326986325298,0.4950345624303394,0.0130738636724928,4.686373596911393,0.1649795122962744,0.3597749848369016,0.0161438671615732,0.304248046875,0.0016801416537192,0.0012715339660644,0.0001101029698731,0.4613710467769933,0.0022157709589272,0.808056640625,0.0038351065363005
recursive,3,200.0,0.0,30.965000000000003,0.1234503948960876,399.4,6.296030495478877,12.195035974740982,0.4885006754346221,0.377036172577346,0.0169379191748552,0.4517426745891752,0.0103448989065055,0.5314058050853911,0.0084761569718843,4.983251516733084,0.2978132334081664,0.4172343353608127,0.0107983747181247,0.3045166015625,0.0009331794362117,0.0011826515197753,0.0001070721460946,0.4586835909827181,0.0030901869621853,0.8064453125,0.0045027897982025
recursive,4,200.0,0.0,29.176500000000004,0.2639038650721126,382.4,11.16422858956229,13.748558188199995,0.7112208117668566,0.3518214104607701,0.022652876771297,0.4145136827671548,0.0107597481311786,0.5176888117456399,0.0131905680020472,4.965800641114719,0.3059993212071988,0.3882340727993756,0.0183000170304595,0.3021728515625,0.0014568875730308,0.0012063026428222,0.0001042540519049,0.4601537985320935,0.0023404300324027,0.8017578125,0.003326052024595
recursive,5,200.0,0.0,28.4155,0.2178009412284531,440.7,10.392785959500946,inf,,0.3364698871476596,0.0152351716702216,0.4869261979779988,0.0162758352944842,0.4789841621163261,0.0147295354953269,4.421760841690232,0.278328845526646,0.3734975862488023,0.013115299093719,0.2973876953125,0.0015649775889196,0.0011952400207519,0.0001045577223795,0.4397762513109864,0.0028292926967077,0.830224609375,0.003466796875
recursive,6,200.0,0.0,28.257,0.1523023309079671,491.5,9.7082439194738,62.405864573478695,2.783830878501096,0.2330665929040004,0.0214704758312165,0.465902581858568,0.0150444221412637,0.4009813928870174,0.0154120776602416,3.983240797445824,0.1813983643872762,0.298244654048539,0.0149908121361459,0.2927001953125,0.0022888102213396,0.0012957572937011,0.0001123953228725,0.4418982480509574,0.0030082663047321,0.82109375,0.0041615772954418
recursive,7,200.0,0.0,28.243,0.1910654338178411,526.7,9.132907532653553,inf,,0.2223209614888622,0.0115675820111177,0.4766281600676798,0.0146758312427699,0.3925523178764776,0.0120503263392656,3.639692645733728,0.1518962847088945,0.2894610636470424,0.0106917541691127,0.280224609375,0.00185546875,0.0013892173767089,4.93632180873274e-05,0.4344170840054427,0.0018508734492722,0.838134765625,0.002197265625
recursive,8,200.0,0.0,27.658,0.1592827674294995,526.6,9.77957054271812,90.54100620269776,2.8137133067211435,0.2304551790809506,0.0111453533332297,0.4709275473927117,0.0095425842418617,0.3901480069338173,0.0113885715569874,3.8196306420238826,0.3091851845900665,0.2925684784658519,0.0096777851668324,0.277197265625,0.0024467714485092,0.0015292167663574,0.0001011850247395,0.4323877286926306,0.0018739205150122,0.837548828125,0.0024124256498116
recursive,9,200.0,0.0,27.916000000000004,0.132416011116481,520.5,8.651589449343975,103.42137400341036,3.2209650075673752,0.2273967124100092,0.0094482200105023,0.4813302086419286,0.0111051911509292,0.3968518061539783,0.0095701608127997,3.7716041324273375,0.1610495218614993,0.2955639074753109,0.0077476531804516,0.2752685546875,0.0022195323585579,0.0014664649963378,0.0001240239057123,0.4337354686277684,0.0022133070268808,0.834326171875,0.0028223332063707
recursive,10,200.0,0.0,28.1145,0.1159191528609491,489.1,9.438749917229504,113.61352650737764,5.338513772632291,0.2460839144389894,0.0199914156185382,0.4910031314126936,0.0119867998092052,0.4002398447757987,0.0174670074844054,3.924885294914034,0.1938881583799766,0.3038753734580565,0.0145469370261485,0.2708740234375,0.0026816600068149,0.0015878677368164,0.000144286228111,0.4277438583935531,0.0031000465999916,0.8416015625,0.0035694661879877
